Account ID,Org Name,Wastewater network ID,Wastewater network/plant name,W-A2 Total length of wastewater pipes (km),W-A2 Reason not available,W-A2 Data confidence,W-A7 Wastewater treatment processes - highest level,W-A8 Receiving environment for treated wastewater,W-A9 Volume of wastewater treated at treatment plant (m3/year),W-A9 Reason not available,W-A9.1 Average nominal flows (L/s),W-A9.1 Reason not available,W-A9.2 Average peak flows (L/s),W-A9.2 Reason not available,W-A9.3 Reason for peak flow,W-A10 Volume of trade waste treated (m3/year),W-A10 Reason not available,W-A11 Volume of septage imported for treatment (m3/year),W-A11 Reason not available,W-A12 Volume of treated wastewater applied to land (m3/year),W-A12 Reason not available,W-A7 to W-A12 Data confidence,W-EH1 Number of residential connections,W-EH1 Reason not available,W-EH1 Method of determining connections,W-EH2 Number of non-residential connections,W-EH2 Reason not available,W-EH2 Method of determining connections,W-EH3 Total population served by the wastewater network,W-EH3 Reason not available,W-EH1 to W-EH3 Data confidence,W-EH4 Number of resource consents held for WW network,W-EH4 Reason not available,W-EH9 WW overflow regulation approach under local regional plan,W-EH9 Comments,W-EH4 to W-EH9 Data confidence,W-EH20 WWTP peak flow to nominal flow ratio,W-EH20 Reason not available,W-EH21 Design standards for calculating WW overflow capacity,W-EH21 Comments,W-EH22 Levels of service for preventing WW overflows due to stormwater (%),W-EH22 Comments,W-EH21 to W-EH23 Data confidence,W-RE3 Wastewater treatment wetland emissions (tCO2e/year),W-RE3 Reason not available,W-RE4 Wastewater effluent disposal emissions (tCO2e/year),W-RE4 Reason not available,W-RE5 Wastewater sludge treatment emissions (tCO2e/year),W-RE5 Reason not available,W-RE6 Wastewater sludge disposal emissions (tCO2e/year),W-RE6 Reason not available,W-RE3 to W-RE6 Data confidence,W-RE7 Production of biosolids (m3),W-RE7 Reason not available,W-RE8 % of dry solids in biosolids,W-RE8 Reason not available,W-RE9 % disposal of biosolids to onsite stockpile,W-RE9 Reason not available,W-RE10 Disposal of biosolids to landfill (tonnes),W-RE10 Reason not available,W-RE11 Disposal of biosolids composting and reuse (tonnes),W-RE11 Reason not available,W-RE11 Biosolids reuse - how and where,W-RE12 Disposal of biosolids to other routes (tonnes),W-RE12 Reason not available,W-RE13 Last year plant or pond was desludged (yyyy),W-RE13 Reason not available,W-RE7 to W-RE13 Data confidence
ACC-00001187,Papakura,,,398,,4 - Reliable,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,23621,,Number of connections known,1339,,Other (Please identify in the comments section),74784,,4 - Reliable,3,,,"As per Network Discharge Consents, together with permitted activity rule compliance with the Auckland Unitary Plan.
Note: Drop-down selection under column AH only provides options for ""Data Not Available"" and ""Measure Not Applicable""",4 - Reliable,,Measure Not Applicable,Other (Please identify in the comments section),Watercare Engineering Standards Framework,86,1 in 6 month or less ARI,4 - Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,
ACC-00001119,Southland District Council,,Monowai Village,1,,5 - Highly Reliable,Primary,Land,0,Data Not Available,0,Data Not Available,0,Data Not Available,Seasonal Changes,0,Measure Not Applicable,0,Measure Not Applicable,0,Data Not Available,5 - Highly Reliable,14,,Other (Please identify in the comments section),1,,Other (Please identify in the comments section),102,,5 - Highly Reliable,1,,Measure Not Applicable,All are prohibited activity under the regional plan.,5 - Highly Reliable,1,,NZS4404,,100,No overflows from the past 12 months.,3 - Less Reliable,63,,22,,112,,112,,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Biosolids were not reused by SDC.,,Measure Not Applicable,,Measure Not Applicable,3 - Less Reliable
ACC-00001011,Taupo District Council,,Taupo,287.65651,,4 - Reliable,Secondary,Land,2438642,,77.3,,111.3,,Population Variance,31858,,0,,2438642,,4 - Reliable,10626,,Number of connections known,1050,,Other (Please identify in the comments section),25912,,3 - Less Reliable,4,,,No overflow is permitted (Waikato Regional Council,4 - Reliable,1.44,,Measure Not Applicable,,,No design level of service,4 - Reliable,,Measure Not Applicable,,Data Not Available,,Data Not Available,,Data Not Available,4 - Reliable,3000,,15,,0,,0,,3051.66,,All biosolids are dewatered to ~15% DS and sent for vermicomposting. Final product reused as fertiliser,0,,,Measure Not Applicable,4 - Reliable
ACC-00001125,Thames Coromandel District Council,,Pauanui,94,,5 - Highly Reliable,Tertiary,Land,372090.03,,11.79889745,,31.04166667,,Population Variance,,Measure Not Applicable,,Measure Not Applicable,372090.03,,4 - Reliable,3865,,Other (Please identify in the comments section),98,,Other (Please identify in the comments section),2960,,4 - Reliable,4,,,Prohibited activity under regional plan,4 - Reliable,2.630895539,,Data Not Available,,,Data not available,4 - Reliable,,Measure Not Applicable,161.6587026,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,,Data Not Available,18.9,,,Data Not Available,735,,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,4 - Reliable
ACC-00001016,Waikato District Council,,Te Kauwhata,46,,4 - Reliable,Tertiary,Lake,414118,,,Data Not Available,13,,Significant Weather Events,,Data Not Available,,Data Not Available,0,Measure Not Applicable,4 - Reliable,2135,,Number of connections known,14,,Number of metered connections,5765,,4 - Reliable,2,,Prohibited activity under regional plan,,5 - Highly Reliable,,Data Not Available,Other (Please identify in the comments section),Regional infrastructure technical specifications.,,"CCTV, undergoing I&I investigations targeting areas where I&I is problematic (2025/26)",4 - Reliable,,Measure Not Applicable,8,,,Measure Not Applicable,,Measure Not Applicable,2 - Uncertain,454,,10,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,3 - Less Reliable
ACC-00001216,Watercare,,Kingseat,0.68,,5 - Highly Reliable,Tertiary,River,7127,,0.23,,1.05,,Significant Weather Events,0,,0,,0,,4 - Reliable,48,,Number of connections known,0,,Number of metered connections,140,,4 - Reliable,5,,,Note: drop down selection option doesn't make sense. As per FY2024 report correct answer is: Restricted discretionary,4 - Reliable,4.6,,Internal code of practice,,50,6 month design storm,4 - Reliable,,Measure Not Applicable,1.3,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,,Measure Not Applicable,,Measure Not Applicable,0,,0,,0,,,0,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001181,Whangarei District Council,,Tutukaka,5,,5 - Highly Reliable,Tertiary,Wetland,18041,,0.520833333,,4.86,,Significant Weather Events,0,Data Not Available,0,Measure Not Applicable,0,Measure Not Applicable,5 - Highly Reliable,207,,Estimation by residential buildings,0,Data Not Available,Data Not Available,621,,3 - Less Reliable,1,,,,3 - Less Reliable,9.3312,,Internal code of practice,,,WDC tried out best but can't guarantee level of service,3 - Less Reliable,,Data Not Available,,Data Not Available,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable,0,Measure Not Applicable,0,,0,,0,,0,Measure Not Applicable,,0,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Ashburton,235,,5 - Highly Reliable,Tertiary,Land,2929460,,72,,400,,Significant Weather Events,,Data Not Available,3623,,3760502,,4 - Reliable,8388,,Other (Please identify in the comments section),790,,Other (Please identify in the comments section),18750,,4 - Reliable,14,,As per Resource Consent,,5 - Highly Reliable,5,,NZS4404,,,Not determined. We use peak factors for design,3 - Less Reliable,494,,615,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,,Data Not Available,,Data Not Available,,Data Not Available,0,,0,,,0,,,Data Not Available,4 - Reliable
ACC-00008585,Ashburton District Council,WWN-00101,Methven,26,,5 - Highly Reliable,Secondary,Land,165023,,5,,15,,Significant Weather Events,,Data Not Available,,Measure Not Applicable,,Data Not Available,3 - Less Reliable,914,,Other (Please identify in the comments section),190,,Other (Please identify in the comments section),1700,,4 - Reliable,1,,Measure Not Applicable,,5 - Highly Reliable,1.33,,NZS4404,,,Not determined. We use peak factors for design,3 - Less Reliable,,Measure Not Applicable,265,,,Measure Not Applicable,,Measure Not Applicable,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,0,,0,,,0,,,Data Not Available,4 - Reliable
ACC-00008585,Ashburton District Council,WWN-00102,Rakaia,21,,5 - Highly Reliable,Tertiary,Land,124913,,3,,5,,Significant Weather Events,,Data Not Available,,Measure Not Applicable,,Data Not Available,3 - Less Reliable,540,,Other (Please identify in the comments section),66,,Other (Please identify in the comments section),1100,,4 - Reliable,5,,Measure Not Applicable,,5 - Highly Reliable,3.5,,NZS4404,,,Not determined. We use peak factors for design,3 - Less Reliable,,Measure Not Applicable,43,,,Data Not Available,,Data Not Available,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,0,,0,,,0,,,Measure Not Applicable,4 - Reliable
