Account ID,Org Name,D-A1 Number of drinking water networks,D-A1 Reason not available,D-A1 Comments,D-A2 Number of drinking water treatment plants,D-A2 Reason not available,D-A2 Comments,D-A3 Number of reservoirs,D-A3 Reason not available,D-A3 Comments,D-A4 Number of pump stations,D-A4 Reason not available,D-A4 Comments,D-A1 to D-A4 Data confidence,D-EH5 Water imported from other suppliers (m3/year),D-EH5 Reason not available,D-EH5 Comments,D-EH6 Water exported to other suppliers (m3/year),D-EH6 Reason not available,D-EH6 Comments,D-EH5 to D-EH6 Data confidence,D-R1 Median time to attend urgent fault (hours),D-R1 Reason not available,D-R1 Comments,D-R2 Median time to attend non-urgent fault (hours),D-R2 Reason not available,D-R2 Comments,D-R3 Median time to resolve urgent fault (hours),D-R3 Reason not available,D-R3 Comments,D-R4 Median time to resolve non-urgent fault (hours),D-R4 Reason not available,D-R4 Comments,D-R1 to D-R4 Data confidence,D-R5 Number of planned interruptions,D-R5 Reason not available,D-R5 Comments,D-R6 Number of third-party incidents,D-R6 Reason not available,D-R6 Comments,D-R7 Number of unplanned interruptions,D-R7 Reason not available,D-R7 Comments,D-R8 Urban connections with unplanned interruption >8hrs,D-R8 Reason not available,D-R8 Comments,D-R5 to D-R8 Data confidence,D-R9.1 % of pipes with condition grading,D-R9.1 Reason not available,D-R9.1 Data confidence,D-R9.2 Pipe condition grading methodology,D-R9.2 Reason not available,D-R9.2 Data confidence,D-R10 % pipes in poor or very poor condition,D-R10 Reason not available,D-R10 Comments,D-R10 Data confidence,D-R12 Average age of water pipes (years),D-R12 Reason not available,D-R12 Comments,D-R12 Data confidence,D-R13.1 % above-ground assets with condition grading,D-R13.1 Reason not available,D-R13.1 Data confidence,D-R13.2 Above-ground asset grading methodology,D-R13.2 Reason not available,D-R13.2 Data confidence,D-R14 % above-ground assets in poor or very poor condition,D-R14 Reason not available,D-R14 Comments,D-R14 Data confidence,D-R19 Days when water restrictions applied (days),D-R19 Reason not available,D-R19 Comments,D-R20 % of connections affected by water restrictions,D-R20 Reason not available,D-R20 Comments,D-R19 to D-R20 Data confidence,D-R21 Adopted FENZ Code of Practice (SNZ PAS 4509:2008)?,D-R21 Reason not available,D-R21 Comments,D-R22 % of fire hydrants tested in previous 5 years,D-R22 Reason not available,D-R22 Comments,D-R21 to D-R22 Data confidence,D-RE5 Water conservation education programme in place?,D-RE5 Reason not available,D-RE5 Comments,D-RE6 Number of residential connections with water meters,D-RE6 Reason not available,D-RE6 Comments,D-RE7 Number of non-residential connections with water meters,D-RE7 Reason not available,D-RE7 Comments,D-RE8 Number of abstraction points with water meters,D-RE8 Reason not available,D-RE8 Comments,D-RE9 Abstraction meter calibration frequency (years),D-RE9 Reason not available,D-RE9 Comments,D-RE10 Number of abstraction meters on telemetry,D-RE10 Reason not available,D-RE10 Comments,D-RE11 Days with complete telemetry dataset (days),D-RE11 Reason not available,D-RE11 Comments,D-RE5 to D-RE11 Data confidence,D-RE12 Electricity use (kWh/year),D-RE12 Reason not available,D-RE12 Comments,D-RE13 Energy use from other fuels (GJ/year),D-RE13 Reason not available,D-RE13 Comments,D-RE14 Energy generated (kWh/year),D-RE14 Reason not available,D-RE14 Comments,D-RE12 to D-RE14 Data confidence,D-RE15 Recycled water to residential customers (m3/year),D-RE15 Reason not available,D-RE15 Comments,D-RE16 Recycled water to non-residential customers (m3/year),D-RE16 Reason not available,D-RE16 Comments,D-RE17 Recycled water to managed aquifer recharge (m3/year),D-RE17 Reason not available,D-RE17 Comments,D-RE18 Urban stormwater reused in network (m3/year),D-RE18 Reason not available,D-RE18 Comments,D-RE15 to D-RE18 Data confidence,D-RL1 Critical assets assessment undertaken?,D-RL1 Reason not available,D-RL1 Comments,D-RL1a Data confidence,D-RL1b Data confidence,D-RL2 Emergency response plan developed?,D-RL2 Reason not available,D-RL2 Comments,D-RL3 Business continuity plan developed?,D-RL3 Reason not available,D-RL3 Comments,D-RL4 Date emergency response plan last reviewed (dd/mm/yyyy),D-RL4 Reason not available,D-RL4 Comments,D-RL5 Date business continuity plan last reviewed (dd/mm/yyyy),D-RL5 Reason not available,D-RL5 Comments,D-RL6 Date emergency response exercise last conducted (dd/mm/yyyy),D-RL6 Reason not available,D-RL6 Comments,D-RL7 Date BCP exercise last conducted (dd/mm/yyyy),D-RL7 Reason not available,D-RL7 Comments,D-RL2 to D-RL7 Data confidence,D-RL8 Strategic plan for future water supply demand?,D-RL8 Reason not available,D-RL8 Comments,D-RL8 Data confidence,D-RL9 Days outdoor water use restricted (days),D-RL9 Reason not available,D-RL9 Comments,D-RL10 Days outdoor water use banned (days),D-RL10 Reason not available,D-RL10 Comments,D-RL11 Were other water restrictions imposed?,D-RL11 Reason not available,D-RL11 Comments,D-RL9 to D-RL11 Data confidence,D-ES1.1 Capex to meet additional demand ($),D-ES1.1 Reason not available,D-ES1.2 Capex to replace or improve existing assets ($),D-ES1.2 Reason not available,D-ES2 Total operating expenditure ($),D-ES2 Reason not available,D-ES2 Comments,D-ES1.1 to D-ES2 Data confidence,D-ES3 Forecast capex next year ($),D-ES3 Reason not available,D-ES3 Comments,D-ES4 Forecast opex next year ($),D-ES4 Reason not available,D-ES4 Comments,D-ES3 to D-ES4 Data confidence,D-ES5 Total revenue received ($),D-ES5 Reason not available,D-ES5 Comments,D-ES5 Data confidence
ACC-00008502,Invercargill City Council,1,,,2,,,11,,,6,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.21,,,68,,,1,,,74,,,4 - Reliable,556,,,0,,,275,,,0,,,4 - Reliable,0,Data Not Available,1 - Very Uncertain,Data Not Available,Data Not Available,1 - Very Uncertain,0,Data Not Available,,1 - Very Uncertain,57,,,4 - Reliable,100,,4 - Reliable,Asset inspections,,4 - Reliable,11,,,4 - Reliable,0,,,0,,,5 - Highly Reliable,No,,,37,,,3 - Less Reliable,Yes,,,641,,,834,,,2,,,5,,,2,,,365,,,3 - Less Reliable,4003990.58,,,0,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,No,,,1/09/2024 0:00,,,,Measure Not Applicable,,1/09/2024 0:00,,,,Measure Not Applicable,,3 - Less Reliable,Yes,,,4 - Reliable,0,,,0,,,No,,,5 - Highly Reliable,0,,11582000,,6666000,,,4 - Reliable,5944000,,,8704000,,,4 - Reliable,13699000,,,4 - Reliable
ACC-00001004,Kaikoura District Council,8,,,8,,,46,,,4,,,,0,,,0,,,,2,,,48,,,12,,,168,,,,6,,,,,,,Data Not Available,,0,,,,85,,,Desktop assessment,,,5,,,,38,,,,85,,,Asset inspections,,,4,,,,0,,,0,,,,Yes,,,100,,,,Yes,,,20,,,365,,,8,,,10,,,8,,,365,,,,63960,,,0,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,No,,,1/05/2025 0:00,Measure Not Applicable,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Yes,,,,0,,,0,,,No,,,,,Data Not Available,339000,,1614028,,,,293924,,,1921000,,,,1792282.09,,,
ACC-00001094,Kaipara District Council,5,,,5,,,18,,,5,,,,12626,,,0,,,,0.35,,,0.48,,,5.51,,,9.07,,,4 - Reliable,9,,,6,,,40,,,1,,,4 - Reliable,94,,2 - Uncertain,Other (Please identify in the comments section),,2 - Uncertain,19,,,3 - Less Reliable,28,,,3 - Less Reliable,100,,2 - Uncertain,Other (Please identify in the comments section),,2 - Uncertain,12,,,2 - Uncertain,27,,,98,,,2 - Uncertain,No,,,100,,,2 - Uncertain,Yes,,,2964,,,584,,,7,,,2,,,6,,,273,,,2 - Uncertain,805363,,,0,,,0,,,2 - Uncertain,0,,,0,,,0,,,0,,,2 - Uncertain,Yes,,,4 - Reliable,,Yes,,,Yes,,,16/05/2023 0:00,,,,Data Not Available,,30/05/2025 0:00,,,,Data Not Available,,4 - Reliable,Yes,,,4 - Reliable,95,,,24,,,No,,,4 - Reliable,1442121,,111806,,1791975,,,4 - Reliable,2400000,,,2112323,,,4 - Reliable,4692225,,,4 - Reliable
ACC-00008506,Kapiti Coast District Council,4,,,5,,,19,,,9,,,,0,,,0,,,,0.316666667,,,6.883333333,,,1.666666667,,,26,,,,35,,,21,,,320,,,120,,,,100,,,Renewals model,,,3.3,,,,37.8,,,,90,,,Asset inspections,,,10,,,,0,,,0,,,,Yes,,,46,,,,Yes,,,23579,,,1774,,,17,,,2,,,17,,,365,,,,2681595.041,,,0,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,1/04/2024 0:00,,,1/11/2023 0:00,,,26/10/2023 0:00,,,30/08/2021 0:00,,,,Yes,,,,0,,,0,,,No,,,,20865182.1,,1714657.11,,12340880.93,,,,16933810.65,,,14774832.44,,,,14735683.11,,,
ACC-00008542,Kawerau District Council,1,,,1,,,3,,,1,,,,0,,,0,,,,0.52,,,1.37,,,2.1,,,8.57,,,,7,,,1,,,7,,,0,,,,100,,,Renewals model,,,0,,,,20,,,,100,,,Renewals model,,,0,,,,0,,,0,,,,Yes,,,10,,,,Yes,,,2,,,46,,,3,,,5,,,3,,,365,,,,352006,,,0,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,24/01/2025 0:00,,,,,,1/02/2025 0:00,,,,,,,Yes,,,,0,,,0,,,No,,,,,,,,,,,,,,,,,,,,,,
ACC-00008572,Mackenzie District Council,5,,,5,,,15,,,7,,,,0,,,0,,,,1.88,,,7.7,,,8.2,,,100.91,,,,,,,,,,,,,,,,,87,,,Renewals model,,,0,,,,19,,,,100,,,Asset inspections,,,1,,,,,,,,,,,Yes,,,,,,,No,,,3246,,,268,,,5,,,5,,,7,,,365,,,,500293,,,0,,,0,,,,0,,,0,,,0,,,0,,,,No,,,,,No,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,990474.29,,,,,,,,1619542,,,,,,,,,,
ACC-00007492,Manawatu District Council,6,,,7,,,15,,,2,,,5 - Highly Reliable,0,,,87840,,,5 - Highly Reliable,0.505,,,5,,,2,,,36,,,4 - Reliable,8,,,0,,,8,,,0,,,5 - Highly Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,14.6,,,4 - Reliable,27.4,,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,5 - Highly Reliable,43,,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,39,,,5 - Highly Reliable,No,,,183,,,75,,,8,,,5,,,8,,,365,,,4 - Reliable,1062280,,,0,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,1/09/2023 0:00,,,9/07/2024 0:00,,,9/04/2025 0:00,,,21/03/2020 0:00,,,4 - Reliable,Yes,,,4 - Reliable,0,,,0,,,Yes,,,5 - Highly Reliable,751963,,9453628,,5512414,,,4 - Reliable,3915932,,,6577306,,,5 - Highly Reliable,8081784,,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,8,,,9,,,26,,,14,,,,0,,,0,,,,1,,,4.32,,,1,,,5.52,,,,83,,,11,,,23,,,11,,,,39.2,,,Asset management information system,,,3.65,,,,30,,,,49,,,Asset management information system,,,4,,,,0,,,0,,,,No,,,0,,,,Yes,,,15339,,,1264,,,24,,,5,,,24,,,365,,,,4139641,,,0,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,19/05/2025 0:00,,,25/08/2025 0:00,,,27/06/2025 0:00,,,26/08/2020 0:00,,,,Yes,,,,0,,,0,,,No,,,,346,,5221,,16112,,,,12526,,,16047,,,,13070,,,
ACC-00001026,Masterton District Council,3,,,2,,,16,,,1,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.367,,,1.23,,,1.12,,,1.38,,,4 - Reliable,25,,,1,,,33,,,0,,,4 - Reliable,84.4,,4 - Reliable,Desktop assessment,,4 - Reliable,23.52,,,4 - Reliable,32,,,4 - Reliable,0,,4 - Reliable,Renewals model,,4 - Reliable,,Data Not Available,,4 - Reliable,90,,,100,,,4 - Reliable,Yes,,,0,,,4 - Reliable,Yes,,,9000,,,48,,,1,,,0,,,0,,,0,,,4 - Reliable,226098,,,0,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,6/01/2025 0:00,,,10/11/2022 0:00,,,,,,,,,4 - Reliable,Yes,,,4 - Reliable,90,,,0,,,No,,,4 - Reliable,4870000,,330000,,6133788,,,4 - Reliable,464180,,,6685905,,,4 - Reliable,5230000,,,4 - Reliable
ACC-00008512,Matamata Piako District Council,6,,,10,,,11,,,3,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.52,,,48,,,3,,,48,,,2 - Uncertain,13,,,5,,,280,,,0,,,4 - Reliable,93.974531,,5 - Highly Reliable,,,2 - Uncertain,13.523126,,,2 - Uncertain,33.161009,,,4 - Reliable,100,,5 - Highly Reliable,,,2 - Uncertain,1.290878,,,2 - Uncertain,167,,,100,,,5 - Highly Reliable,Yes,,,17,,,1 - Very Uncertain,No,,,1349,,,65,,,16,,,1,,,16,,,,Data Not Available,,5 - Highly Reliable,1405784.34,,,0,,,0,,,3 - Less Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,4 - Reliable,,No,,,Yes,,,,Measure Not Applicable,,1/11/2018 0:00,,,,Measure Not Applicable,,,Data Not Available,,4 - Reliable,Yes,,,5 - Highly Reliable,115,,,50,,,No,,,5 - Highly Reliable,1871000,,5269620,,10448987,,,5 - Highly Reliable,8206000,,,11446717,,,5 - Highly Reliable,13416000,,,5 - Highly Reliable
ACC-00008588,Ministry of Education,118,,,118,,,160,,,118,,,3 - Less Reliable,,Measure Not Applicable,,,Measure Not Applicable,,3 - Less Reliable,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,3 - Less Reliable,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Measure Not Applicable,,3 - Less Reliable,,Data Not Available,3 - Less Reliable,,,3 - Less Reliable,,Data Not Available,,3 - Less Reliable,,Data Not Available,,3 - Less Reliable,10,,3 - Less Reliable,Desktop assessment,,3 - Less Reliable,0,,,5 - Highly Reliable,,Data Not Available,,,Measure Not Applicable,,5 - Highly Reliable,No,,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,5 - Highly Reliable,,Data Not Available,,,Data Not Available,,,Data Not Available,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,5 - Highly Reliable,No,Data Not Available,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,No,Measure Not Applicable,,5 - Highly Reliable,,Data Not Available,4700000,,,Data Not Available,,5 - Highly Reliable,8000000,,,,Data Not Available,,5 - Highly Reliable,,Measure Not Applicable,,5 - Highly Reliable
ACC-00001141,Napier City Council,1,,,7,,,12,,,7,,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,0.5,,,23,,,2,,,48,,,4 - Reliable,77,,,0,,,102,,,0,,,4 - Reliable,100,,2 - Uncertain,Renewals model,,4 - Reliable,25.6,,,3 - Less Reliable,42,,,4 - Reliable,93,,4 - Reliable,Asset inspections,,4 - Reliable,12,,,4 - Reliable,157,,,100,,,4 - Reliable,Yes,,,,Data Not Available,,4 - Reliable,Yes,,,804,,,923,,,7,,,3,,,7,,,365,,,5 - Highly Reliable,3910153,,,,Measure Not Applicable,,,Measure Not Applicable,,4 - Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,14/12/2020 0:00,,,14/05/2024 0:00,,,14/02/2023 0:00,,,14/02/2023 0:00,,,4 - Reliable,Yes,,,4 - Reliable,39,,,0,,,No,,,4 - Reliable,3157676,,2092204,,5478735,,,4 - Reliable,10298856,,,5723676,,,4 - Reliable,9499481,,,4 - Reliable
ACC-00008541,Nelson City Council,1,,,1,,,51,,,13,,,5 - Highly Reliable,107901,,,0,,,5 - Highly Reliable,0.333333333,,,1.633333333,,,4.35,,,20.05,,,5 - Highly Reliable,46,,,10,,,209,,,0,,,4 - Reliable,98,,4 - Reliable,Desktop assessment,,4 - Reliable,36,,,4 - Reliable,41,,,4 - Reliable,85,,4 - Reliable,Other (Please identify in the comments section),,4 - Reliable,8,,,2 - Uncertain,32,,,98,,,5 - Highly Reliable,Yes,,,0,,,5 - Highly Reliable,Yes,,,20145,,,1807,,,3,,,1,,,3,,,365,,,5 - Highly Reliable,2900000,,,0,,,158000,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,1/07/2025 0:00,,,1/03/2022 0:00,,,17/08/2022 0:00,,,17/08/2022 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,32,,,0,,,No,,,5 - Highly Reliable,3259000,,4046000,,11269000,,,5 - Highly Reliable,9662000,,,11187500,,,5 - Highly Reliable,16208500,,,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,4,,,4,,,21,,,6,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.55,,,4.6,,,1.62,,,7.36,,,4 - Reliable,60,,,7,,,141,,,0,,,3 - Less Reliable,89.43,,4 - Reliable,Renewals model,,4 - Reliable,24.888,,,4 - Reliable,40.603,,,4 - Reliable,90.90909091,,2 - Uncertain,Desktop assessment,,4 - Reliable,17.5,,,2 - Uncertain,90,,,100,,,5 - Highly Reliable,No,,,55,,,3 - Less Reliable,Yes,,,22962,,,2312,,,7,,,5,,,5,,,365,,,4 - Reliable,765035,,,0,,,11700,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,8/04/2025 0:00,,,1/09/2017 0:00,,,3/07/2025 0:00,,,3/07/2025 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,90,,,0,,,No,,,5 - Highly Reliable,4189000,,3352000,,22573000,,,5 - Highly Reliable,18030000,,,29100000,,,5 - Highly Reliable,21115000,,,5 - Highly Reliable
ACC-00001000,New Zealand Defence Force,7,,,7,,,21,,,5,,,5 - Highly Reliable,2116,,,51149.37739,,,2 - Uncertain,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,2 - Uncertain,0,,,1,,,1,,,0,,,3 - Less Reliable,92,,4 - Reliable,Desktop assessment,,4 - Reliable,56,,,4 - Reliable,47,,,4 - Reliable,,Data Not Available,4 - Reliable,,Data Not Available,4 - Reliable,,Data Not Available,,4 - Reliable,0,,,0,,,3 - Less Reliable,Yes,,,,Data Not Available,,4 - Reliable,No,,,,Measure Not Applicable,,,Measure Not Applicable,,11,,,5,,,10,,,362,,,3 - Less Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,3 - Less Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,No,,,4 - Reliable,,Yes,,,Yes,,,27/06/2024 0:00,,,31/12/2021 0:00,,,6/07/2023 0:00,,,,Data Not Available,,4 - Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,0,,,3 - Less Reliable,0,,18770216,,724069.3495,,,4 - Reliable,748640.2084,,,684925.4227,,,4 - Reliable,,Measure Not Applicable,,4 - Reliable
ACC-00008500,Opotiki District Council,3,,,3,,,10,,,4,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.18,,,0.31,,,1.75,,,6.8,,,5 - Highly Reliable,1,,,5,,,6,,,0,,,5 - Highly Reliable,89,,4 - Reliable,Asset management information system,,4 - Reliable,6.4,,,4 - Reliable,24,,,4 - Reliable,89,,4 - Reliable,Asset management information system,,4 - Reliable,6.4,,,4 - Reliable,0,,,0,,,5 - Highly Reliable,Yes,,,100,,,5 - Highly Reliable,Yes,,,2737,,,87,,,4,,,1,,,3,,,365,,,5 - Highly Reliable,,Data Not Available,,225,Data Not Available,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,1/07/2019 0:00,,,,Data Not Available,,12/03/2025 0:00,,,,Data Not Available,,4 - Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,0,,132422,,1434117,,,5 - Highly Reliable,897000,,,1065000,,,4 - Reliable,2102984,,,5 - Highly Reliable
ACC-00008562,Otorohanga District Council,7,,,6,,,7,,,3,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,2.98,,,2.28,,,15.48,,,10.27,,,5 - Highly Reliable,3,,,0,,,0,,,0,,,5 - Highly Reliable,99.29,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,11.25,,,5 - Highly Reliable,30,,,5 - Highly Reliable,80,Data Not Available,5 - Highly Reliable,,Data Not Available,5 - Highly Reliable,0,Data Not Available,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,Yes,,,50,,,5 - Highly Reliable,No,,,788,,,517,,,7,,,5,,,7,,,0,Measure Not Applicable,,5 - Highly Reliable,448953,,,0,,,0,,,5 - Highly Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,1/06/2025 0:00,,,14/11/2024 0:00,,,22/05/2025 0:00,,,15/08/2024 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,0,,333491,,2067230,,,5 - Highly Reliable,836401,,,2482111,,,5 - Highly Reliable,2449969,,,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,4,,,9,,,13,,,6,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.52,,,1.46,,,1.76,,,2.81,,,5 - Highly Reliable,113,,,13,,,51,,,0,,,5 - Highly Reliable,1,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,1,,,5 - Highly Reliable,33,,,5 - Highly Reliable,52,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,1,,,5 - Highly Reliable,209,,,1,,,5 - Highly Reliable,Yes,,,34,,,5 - Highly Reliable,Yes,,,111,,,1272,,,12,,,5,,,12,,,365,,,4 - Reliable,148080,,,553,,,142128,,,5 - Highly Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,6/05/2025 0:00,,,6/05/2025 0:00,,,10/04/2025 0:00,,,19/06/2025 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,209,,,0,,,No,,,5 - Highly Reliable,1013434,,11468600,,5724816,,,5 - Highly Reliable,15529763,,,7993734,,,5 - Highly Reliable,17583782,,,5 - Highly Reliable
ACC-00001187,Papakura,2,,,0,,,2,,,1,,,5 - Highly Reliable,8565889,,,46861,,,4 - Reliable,0.4,,,20,,,3.4,,,24,,,4 - Reliable,36,,,9,,,83,,,1,,,4 - Reliable,100,,3 - Less Reliable,Other (Please identify in the comments section),,3 - Less Reliable,28.2,,,3 - Less Reliable,31,,,3 - Less Reliable,100,,4 - Reliable,Asset inspections,,4 - Reliable,0,,,4 - Reliable,0,,,0,,,5 - Highly Reliable,Yes,,,5,,,4 - Reliable,Yes,,,24145,,,1343,,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,4 - Reliable,139804,,,0,,,0,,,4 - Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,20/09/2024 0:00,,,20/09/2024 0:00,,,5/06/2025 0:00,,,,,,4 - Reliable,Yes,,,4 - Reliable,0,,,0,,,No,,,5 - Highly Reliable,,,,,,,,5 - Highly Reliable,,,,,,,5 - Highly Reliable,,,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,10,,,14,,,35,,,37,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.7,,,18,,,6,,,71,,,5 - Highly Reliable,15,,,33,,,202,,,845,,,5 - Highly Reliable,100,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,9,,,5 - Highly Reliable,18,,,5 - Highly Reliable,99,,5 - Highly Reliable,Asset management information system,,5 - Highly Reliable,0,,,3 - Less Reliable,12,,,1,,,5 - Highly Reliable,Yes,,,5,,,4 - Reliable,Yes,,,1403,,,3,,,27,,,5,,,27,,,,,,5 - Highly Reliable,7531206,,,0,,,0,,,5 - Highly Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,21/10/2022 0:00,,,29/10/2020 0:00,,,19/10/2024 0:00,,,19/10/2024 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,12,,,0,,,No,,,5 - Highly Reliable,9481635,,16315731,,24888553,,,5 - Highly Reliable,23649445,,,22953285,,,5 - Highly Reliable,14482107,,,5 - Highly Reliable
ACC-00007503,Rangitikei District Council,6,,,7,,,1,,,11,,,,398556,,,0,,,,0.135,,,0.75,,,1.695,,,2.68,,,,4,,,0,,,4,,,0,,,,89,,,Other (Please identify in the comments section),,,2,,,,29,,,,99,,,Other (Please identify in the comments section),,,0,,,,0,,,0,,,,No,,,100,,,,Yes,,,3779,,,850,,,10,,,5,,,10,,,365,,,,1752104,,,0,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,16/08/2025 0:00,,,26/11/2024 0:00,,,14/05/2025 0:00,,,14/05/2025 0:00,,,,Yes,,,,0,,,0,,,No,,,,0,,2407629,,8515584,,,,9844000,,,6015000,,,,7290680,,,
ACC-00008544,Rotorua Lakes Council,8,,,10,,,50,,,20,,,,0,,,0,,,,0.5,,,20,,,1,,,48,,,,0,,,0,,,0,,,0,,,,13,,,Asset inspections,,,3.9,,,,35.1,,,,16,,,Asset inspections,,,1,,,,0,,,0,,,,Yes,,,100,,,,Yes,,,3510,,,1512,,,10,,,5,,,,Measure Not Applicable,,322,,,,6973396,,,25104,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Yes,,,,0,,,0,,,No,,,,2064955.89,,7629401.67,,7882571.1,,,,10932768,,,5913580.09,,,,2843342.47,,,
